"filename", "language", "JSON with Comments", "JSON", "JavaScript", "PostCSS", "Markdown", "Properties", "HTML", "XML", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\specialTarget\SpecialTarget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 11, 103
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\speedGUage\SpeedGuage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 444, 4, 28, 476
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\trafficVolume\TrafficVolume.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 4, 11, 128
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\violationStatistic\ViolationStatistic.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 12, 91
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\city\weather\Weather.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 6, 21
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\LeftSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\OptimiseOverview\OptimiseOverview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 2, 8, 71
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\RightSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\controlModule\ControlModule.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 14, 3, 57
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\controlModule.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 2, 40
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\even.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 5, 2, 70
"c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\layout\digitalTwin\css\leftside.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 1, 15
